year,state,city,population,violent_crime,murder_and_non_negligent_man_slaughter,forcible_rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,crime_index_total,modified_crime_index_total
2003,MICHIGAN,Bridgeport Township,11609,50,0,4,17,29,303,71,213,19,5,,
2003,MICHIGAN,Brownstown Township,25486,75,0,13,12,50,713,163,461,89,6,,
2003,MICHIGAN,Buena Vista Township,10259,132,2,8,23,99,614,199,365,50,14,,
2003,MICHIGAN,Burton,30474,117,1,18,31,67,1617,340,1119,158,11,,
2003,MICHIGAN,Cadillac,10063,42,1,6,2,33,569,98,440,31,10,,
2003,MICHIGAN,Canton Township,81572,102,2,27,16,57,1655,264,1236,155,10,,
2003,MICHIGAN,Chesterfield Township,40490,28,1,3,5,19,699,118,522,59,3,,
2003,MICHIGAN,Clawson,12605,7,0,1,3,3,169,21,133,15,1,,
2003,MICHIGAN,Clinton Township2,96271,349,0,30,58,261,2352,421,1621,310,28,,
2003,MICHIGAN,Coldwater,10728,44,0,11,1,32,464,64,381,19,6,,
2003,MICHIGAN,Davison Township,18209,29,0,6,3,20,396,108,247,41,2,,
2003,MICHIGAN,Dearborn,98121,1099,0,13,144,942,5098,525,3257,1316,25,,
2003,MICHIGAN,Dearborn Heights,58218,156,3,12,63,78,1622,276,962,384,5,,
2003,MICHIGAN,Detroit2,927766,18724,366,814,5817,11727,64809,14100,25353,25356,1744,,
2003,MICHIGAN,Dewitt Township,12911,25,0,4,5,16,240,54,158,28,0,,
2003,MICHIGAN,East Grand Rapids,10708,4,0,1,3,0,181,44,132,5,1,,
2003,MICHIGAN,East Lansing,46408,229,4,18,31,176,1369,257,1040,72,26,,
2003,MICHIGAN,Eastpointe,33966,168,1,22,65,80,1363,176,810,377,9,,
2003,MICHIGAN,Emmett Township,12051,59,0,8,14,37,626,104,483,39,1,,
2003,MICHIGAN,Farmington,10297,20,0,1,2,17,239,36,184,19,0,,
2003,MICHIGAN,Farmington Hills,81666,146,0,18,26,102,1751,355,1236,160,16,,
2003,MICHIGAN,Fenton,11867,20,0,4,3,13,262,54,180,28,0,,
2003,MICHIGAN,Ferndale,21922,93,0,11,26,56,738,146,430,162,3,,
2003,MICHIGAN,Flint2,122121,1484,28,124,338,994,6714,2063,3353,1298,98,,
2003,MICHIGAN,Flint Township,33586,187,1,18,65,103,2416,414,1779,223,10,,
2003,MICHIGAN,Flushing Township,10486,10,0,4,0,6,116,40,70,6,0,,
2003,MICHIGAN,Fraser,15354,28,0,3,8,17,401,55,298,48,3,,
2003,MICHIGAN,Garden City,29968,75,0,6,15,54,715,133,468,114,5,,
2003,MICHIGAN,Genesee Township,24664,108,2,9,22,75,678,213,372,93,9,,
2003,MICHIGAN,Grand Blanc Township,32794,69,0,9,8,52,704,179,454,71,3,,
2003,MICHIGAN,Grand Haven,10962,36,0,15,2,19,433,76,332,25,7,,
2003,MICHIGAN,Grand Rapids2,197173,2070,11,68,533,1458,9326,2048,6569,709,89,,
2003,MICHIGAN,Grandville,16647,44,0,13,11,20,1028,88,912,28,5,,
2003,MICHIGAN,Green Oak Township,16395,20,1,3,3,13,245,54,157,34,5,,
2003,MICHIGAN,Grosse Ile Township,10973,1,0,1,0,0,64,8,55,1,0,,
2003,MICHIGAN,Grosse Pointe Park,12388,15,0,0,8,7,398,30,241,127,1,,
2003,MICHIGAN,Grosse Pointe Woods,16985,8,0,0,3,5,254,30,193,31,0,,
2003,MICHIGAN,Hamburg Township,21710,16,0,2,1,13,225,53,162,10,0,,
2003,MICHIGAN,Hamtramck,22819,311,1,6,140,164,1431,377,400,654,14,,
2003,MICHIGAN,Harper Woods,14175,61,0,8,38,15,1572,82,1055,435,7,,
2003,MICHIGAN,Hazel Park,18745,90,2,12,29,47,722,122,409,191,2,,
2003,MICHIGAN,Holland,34790,115,0,26,5,84,1161,170,951,40,3,,
2003,MICHIGAN,Huron Township,14359,32,0,4,5,23,363,107,217,39,10,,
2003,MICHIGAN,Inkster,29983,362,7,13,65,277,909,326,364,219,20,,
2003,MICHIGAN,Ionia,11061,29,0,16,0,13,285,46,225,14,0,,
2003,MICHIGAN,Jackson,35618,196,5,39,63,89,2077,363,1573,141,33,,
2003,MICHIGAN,Kalamazoo Township,21907,86,1,12,30,43,859,180,578,101,4,,
2003,MICHIGAN,Kentwood,46453,137,0,18,20,99,1545,284,1207,54,11,,
2003,MICHIGAN,Lansing,118937,1220,8,164,208,840,5149,1016,3677,456,47,,
2003,MICHIGAN,Leoni Township,13590,38,1,3,5,29,358,101,243,14,0,,
2003,MICHIGAN,Lincoln Park,39776,144,0,10,43,91,1656,320,1034,302,1,,
2003,MICHIGAN,Lincoln Township,14149,21,0,2,2,17,221,38,172,11,0,,
2003,MICHIGAN,Livonia,100636,185,0,13,56,116,2506,389,1846,271,26,,
2003,MICHIGAN,Madison Heights,30788,80,0,7,38,35,1436,199,938,299,15,,
2003,MICHIGAN,Marquette,20607,19,0,9,0,10,460,65,373,22,3,,
2003,MICHIGAN,Melvindale,10687,24,0,2,9,13,264,51,153,60,2,,
2003,MICHIGAN,Meridian Township,39512,75,1,15,9,50,1305,213,1041,51,15,,
2003,MICHIGAN,Midland,42204,73,0,18,4,51,1003,145,830,28,8,,
2003,MICHIGAN,Milford,15575,14,0,8,0,6,193,50,127,16,4,,
2003,MICHIGAN,Monroe,22094,90,1,16,18,55,738,147,561,30,6,,
2003,MICHIGAN,Mount Clemens,17411,64,0,3,24,37,696,116,499,81,4,,
2003,MICHIGAN,Mount Morris Township,24000,171,2,33,54,82,1122,397,531,194,15,,
2003,MICHIGAN,Mount Pleasant,26094,53,0,9,4,40,690,101,555,34,3,,
2003,MICHIGAN,Mundy Township,12998,22,0,1,8,13,573,82,456,35,2,,
2003,MICHIGAN,Muskegon,39547,332,1,52,48,231,2631,478,1937,216,8,,
2003,MICHIGAN,Muskegon Heights,11892,256,0,10,44,202,1194,246,735,213,17,,
2003,MICHIGAN,Muskegon Township,18126,60,0,14,6,40,1039,107,872,60,5,,
2003,MICHIGAN,Niles,12009,74,0,17,8,49,729,132,543,54,3,,
2003,MICHIGAN,Northville Township,22898,16,0,2,0,14,593,92,451,50,2,,
2003,MICHIGAN,Norton Shores,23152,53,0,8,13,32,1028,102,870,56,4,,
2003,MICHIGAN,Novi,49258,45,2,7,15,21,1385,200,1100,85,4,,
2003,MICHIGAN,Oak Park,29513,142,1,10,42,89,1023,194,584,245,1,,
2003,MICHIGAN,Owosso,15524,46,0,12,2,32,546,90,429,27,6,,
2003,MICHIGAN,Pittsfield Township,31970,64,1,11,12,40,1150,147,863,140,4,,
2003,MICHIGAN,Plymouth Township,28617,33,0,2,7,24,511,80,385,46,2,,
2003,MICHIGAN,Pontiac,66331,912,8,73,156,675,2356,796,1151,409,34,,
2003,MICHIGAN,Portage,45330,101,0,9,15,77,2137,321,1725,91,7,,
2003,MICHIGAN,Port Huron,32399,193,0,23,23,147,1197,202,906,89,8,,
2003,MICHIGAN,Redford Township,51405,170,1,14,55,100,1678,387,842,449,13,,
2003,MICHIGAN,Riverview,13240,14,0,1,3,10,281,32,224,25,1,,
2003,MICHIGAN,Rochester,10802,1,0,0,0,1,182,17,153,12,2,,
2003,MICHIGAN,Romulus,23665,133,0,15,32,86,1315,282,743,290,16,,
2003,MICHIGAN,Roseville,48478,157,0,10,56,91,2394,323,1617,454,5,,
2003,MICHIGAN,Royal Oak,59394,103,0,9,42,52,1508,275,1078,155,5,,
2003,MICHIGAN,Saginaw,60273,1640,16,74,173,1377,2684,1054,1350,280,88,,
2003,MICHIGAN,Saginaw Township,40127,91,0,5,12,74,1121,133,940,48,6,,
2003,MICHIGAN,Sault Ste. Marie,14306,25,0,3,4,18,433,41,354,38,1,,
2003,MICHIGAN,Shelby Township,67097,78,0,7,7,64,978,156,741,81,2,,
2003,MICHIGAN,Southfield,78088,1072,2,34,139,897,4379,754,2499,1126,5,,
2003,MICHIGAN,Southgate,30488,82,0,5,15,62,1457,175,1057,225,8,,
2003,MICHIGAN,South Lyon,10695,12,0,3,0,9,178,31,139,8,1,,
2003,MICHIGAN,St. Clair Shores,62921,156,0,15,34,107,1519,244,998,277,25,,
2003,MICHIGAN,Sterling Heights,126517,258,1,18,46,193,2944,358,2294,292,10,,
2003,MICHIGAN,St. Joseph Township,10068,12,0,0,3,9,156,37,109,10,0,,
2003,MICHIGAN,Sturgis,11153,47,1,12,0,34,470,89,359,22,1,,
2003,MICHIGAN,Summit Township,21876,38,0,5,8,25,298,64,209,25,0,,
2003,MICHIGAN,Sumpter Township,12020,34,0,9,0,25,261,67,157,37,0,,
2003,MICHIGAN,Taylor,66087,267,2,40,58,167,3115,466,2095,554,31,,
2003,MICHIGAN,Thomas Township,12558,30,0,2,1,27,412,41,363,8,0,,
2003,MICHIGAN,Traverse City,14511,43,0,12,5,26,512,51,439,22,3,,
2003,MICHIGAN,Troy,81150,100,1,11,28,60,2024,292,1573,159,5,,
2003,MICHIGAN,Van Buren Township,25717,18,0,2,5,11,646,95,443,108,1,,
2003,MICHIGAN,Walker,23108,51,3,12,12,24,1090,138,909,43,4,,
2003,MICHIGAN,Warren2,138077,790,3,80,188,519,,763,2301,,65,,
2003,MICHIGAN,Waterford Township,73865,163,1,40,28,94,1563,306,1094,163,14,,
2003,MICHIGAN,Wayne,19077,142,0,19,32,91,1005,202,625,178,16,,
2003,MICHIGAN,West Bloomfield Township,65494,17,0,6,8,3,752,97,635,20,6,,
2003,MICHIGAN,Westland,86536,277,1,38,43,195,2718,635,1552,531,46,,
2003,MICHIGAN,White Lake Township,28880,23,0,10,2,11,593,103,451,39,4,,
2003,MICHIGAN,Wixom,13569,34,0,13,2,19,383,40,301,42,2,,
2003,MICHIGAN,Woodhaven,12802,38,0,5,6,27,418,38,352,28,2,,
2003,MICHIGAN,Wyandotte,27927,53,0,7,16,30,854,151,587,116,7,,
2003,MICHIGAN,Wyoming,70535,331,0,51,70,210,2189,628,1347,214,16,,
2003,MICHIGAN,Ypsilanti,22883,197,0,22,57,118,1201,285,765,151,20,,
2003,,, ,, , ,,,,,,,,,
2003,MINNESOTA,Albert Lea,18155,37,0,1,4,32,448,38,382,28,0,,
2003,MINNESOTA,Anoka,18081,41,0,17,9,15,685,101,537,47,7,,
2003,MINNESOTA,Apple Valley,48863,57,1,10,10,36,1407,168,1191,48,15,,
2003,MINNESOTA,Austin,23687,81,0,27,12,42,894,126,707,61,6,,
2003,MINNESOTA,Bemidji,12472,44,2,8,4,30,996,55,884,57,3,,
2003,MINNESOTA,Bloomington,84756,149,1,24,52,72,3569,332,2988,249,19,,
2003,MINNESOTA,Brainerd,13417,66,0,24,4,38,952,155,740,57,32,,
2003,MINNESOTA,Brooklyn Center,28980,132,2,25,50,55,2136,203,1708,225,53,,
2003,MINNESOTA,Brooklyn Park,68666,266,2,40,68,156,3007,591,2094,322,28,,
2003,MINNESOTA,Buffalo,11747,29,0,8,2,19,496,45,429,22,0,,
2003,MINNESOTA,Burnsville,60507,88,1,23,28,36,1863,183,1559,121,13,,
2003,MINNESOTA,Chaska,19569,20,0,9,0,11,373,45,315,13,19,,
2003,MINNESOTA,Cloquet,11411,21,0,1,3,17,344,39,282,23,6,,
2003,MINNESOTA,Cottage Grove,31336,46,0,9,5,32,798,101,665,32,25,,
2003,MINNESOTA,Crystal,22702,50,0,6,15,29,846,120,691,35,9,,
2003,MINNESOTA,Duluth,87102,290,4,53,83,150,4794,773,3640,381,19,,
2003,MINNESOTA,Eagan,64553,65,0,16,24,25,1529,211,1238,80,7,,
2003,MINNESOTA,Eden Prairie,57794,48,0,14,1,33,1367,189,1132,46,14,,
2003,MINNESOTA,Edina,47486,30,0,5,15,10,1061,164,867,30,1,,
2003,MINNESOTA,Elk River,18198,16,0,5,1,10,636,88,526,22,5,,
2003,MINNESOTA,Fairmont,10763,19,0,5,3,11,592,77,497,18,5,,
2003,MINNESOTA,Faribault,21509,65,0,19,4,42,834,170,627,37,12,,
2003,MINNESOTA,Farmington,14837,8,0,2,0,6,234,50,177,7,7,,
2003,MINNESOTA,Fergus Falls,13929,33,0,7,0,26,446,64,357,25,15,,
2003,MINNESOTA,Forest Lake,15217,11,0,4,0,7,485,47,380,58,3,,
2003,MINNESOTA,Golden Valley,20885,49,0,7,25,17,680,130,493,57,7,,
2003,MINNESOTA,Hastings,19244,22,0,9,2,11,560,61,466,33,9,,
2003,MINNESOTA,Hibbing,17109,11,0,4,1,6,315,84,195,36,1,,
2003,MINNESOTA,Hutchinson,13348,29,0,12,2,15,551,50,473,28,2,,
2003,MINNESOTA,Inver Grove Heights,30988,53,1,12,8,32,994,137,777,80,30,,
2003,MINNESOTA,Lakeville,46769,25,0,3,5,17,907,122,760,25,10,,
2003,MINNESOTA,Mankato,33420,62,0,23,14,25,1788,273,1441,74,4,,
2003,MINNESOTA,Maple Grove,57157,45,2,7,6,30,1433,242,1160,31,10,,
2003,MINNESOTA,Maplewood,35994,89,1,6,25,57,2762,242,2321,199,21,,
2003,MINNESOTA,Marshall,12786,29,1,9,5,14,481,67,399,15,4,,
2003,MINNESOTA,Minneapolis,378602,4517,46,384,2192,1895,20405,4482,12404,3519,249,,
2003,MINNESOTA,Minnetonka,51524,42,1,16,6,19,1241,280,917,44,13,,
2003,MINNESOTA,Moorhead,32839,54,1,15,9,29,1056,134,875,47,11,,
2003,MINNESOTA,Mounds View,12823,28,0,4,6,18,703,46,621,36,3,,
2003,MINNESOTA,New Brighton,22231,17,0,1,10,6,762,113,606,43,10,,
2003,MINNESOTA,New Hope,20762,38,0,11,7,20,572,78,469,25,2,,
2003,MINNESOTA,New Ulm,13571,16,0,3,0,13,354,53,288,13,2,,
2003,MINNESOTA,Northfield,17961,17,0,4,1,12,513,68,403,42,0,,
2003,MINNESOTA,North Mankato,12148,5,0,4,1,0,235,5,217,13,5,,
2003,MINNESOTA,North St. Paul,11932,30,0,2,3,25,549,65,437,47,4,,
2003,MINNESOTA,Oakdale,27802,64,1,8,20,35,1378,175,1111,92,14,,
2003,MINNESOTA,Orono,11897,3,0,0,1,2,182,27,147,8,0,,
2003,MINNESOTA,Owatonna,23186,41,0,5,4,32,662,121,517,24,9,,
2003,MINNESOTA,Plymouth,67836,67,0,17,11,39,1792,391,1338,63,11,,
2003,MINNESOTA,Prior Lake,18266,17,0,3,3,11,555,78,439,38,5,,
2003,MINNESOTA,Red Wing,16162,48,0,13,7,28,697,96,542,59,2,,
2003,MINNESOTA,Richfield,34971,150,0,17,48,85,1134,200,810,124,13,,
2003,MINNESOTA,Robbinsdale,13989,52,3,3,23,23,597,108,442,47,2,,
2003,MINNESOTA,Rochester,91230,257,0,59,47,151,3004,477,2360,167,47,,
2003,MINNESOTA,Rosemount,16390,16,0,2,2,12,447,63,366,18,3,,
2003,MINNESOTA,Roseville,33713,43,0,11,12,20,1597,135,1334,128,8,,
2003,MINNESOTA,Sartell,11123,7,0,0,0,7,192,30,145,17,0,,
2003,MINNESOTA,Sauk Rapids,11485,10,0,1,2,7,300,33,251,16,4,,
2003,MINNESOTA,Savage,25007,33,0,5,6,22,579,102,455,22,4,,
2003,MINNESOTA,Shakopee,25516,37,1,4,1,31,724,61,611,52,3,,
2003,MINNESOTA,Shoreview,27148,15,0,5,2,8,421,32,371,18,16,,
2003,MINNESOTA,South Lake Minnetonka,12397,16,1,3,0,12,173,26,133,14,7,,
2003,MINNESOTA,South St. Paul,20063,38,0,5,9,24,604,91,455,58,5,,
2003,MINNESOTA,Stillwater,16320,15,0,2,3,10,480,69,385,26,10,,
2003,MINNESOTA,St. Louis Park,44472,83,0,7,34,42,1515,200,1202,113,23,,
2003,MINNESOTA,St. Paul,286281,2178,20,217,638,1303,13540,3074,8376,2090,196,,
2003,MINNESOTA,Vadnais Heights,13327,9,0,2,2,5,286,23,230,33,5,,
2003,MINNESOTA,White Bear Lake,24658,17,0,3,3,11,816,140,615,61,5,,
2003,MINNESOTA,Willmar,18224,48,0,10,6,32,785,124,634,27,2,,
2003,MINNESOTA,Winona,26747,25,0,3,9,13,750,138,575,37,7,,
2003,MINNESOTA,Woodbury,49551,33,0,8,7,18,1109,116,952,41,4,,
2003,MINNESOTA,Worthington,11179,21,0,2,3,16,339,97,229,13,1,,
2003,,,,,,,,,,,,,,,
2003,MISSISSIPPI,Brandon,17552,14,0,5,3,6,218,77,126,15,0,,
2003,MISSISSIPPI,Cleveland,13442,38,0,5,15,18,994,334,628,32,5,,
2003,MISSISSIPPI,Columbus,25336,73,4,13,22,34,1622,273,1276,73,1,,
2003,MISSISSIPPI,Greenville,40419,370,13,19,140,198,4040,1101,2749,190,49,,
2003,MISSISSIPPI,Greenwood,17832,64,2,2,25,35,1233,343,845,45,2,,
2003,MISSISSIPPI,Grenada,14753,89,5,10,17,57,699,182,475,42,6,,
2003,MISSISSIPPI,Gulfport,72751,270,11,48,147,64,5737,1181,4091,465,24,,
2003,MISSISSIPPI,Indianola,11814,75,0,16,21,38,765,243,496,26,3,,
2003,MISSISSIPPI,Jackson,181479,1648,45,179,962,462,15496,4369,8323,2804,59,,
2003,MISSISSIPPI,Laurel,18136,119,5,30,47,37,1690,265,1403,22,9,,
2003,MISSISSIPPI,Long Beach,17059,21,1,8,9,3,678,97,545,36,1,,
2003,MISSISSIPPI,Madison,15469,6,0,0,3,3,169,15,152,2,0,,
2003,MISSISSIPPI,McComb,13226,95,0,0,27,68,868,176,623,69,0,,
2003,MISSISSIPPI,Meridian,39649,195,8,27,94,66,1823,573,1138,112,27,,
2003,MISSISSIPPI,Moss Point,15527,143,2,14,61,66,1197,601,495,101,,,
2003,MISSISSIPPI,Natchez,17923,57,2,10,18,27,1220,186,1011,23,3,,
2003,MISSISSIPPI,Ocean Springs,17363,26,0,10,8,8,757,146,562,49,1,,
2003,MISSISSIPPI,Olive Branch,23448,77,2,12,28,35,840,248,504,88,3,,
2003,MISSISSIPPI,Oxford,12528,29,0,3,13,13,286,71,199,16,1,,
2003,MISSISSIPPI,Pascagoula,26076,136,1,46,72,17,1947,696,1114,137,8,,
2003,MISSISSIPPI,Pearl,22717,67,0,25,10,32,754,316,387,51,4,,
2003,MISSISSIPPI,Picayune,10686,50,1,5,11,33,721,111,576,34,4,,
2003,MISSISSIPPI,Ridgeland,20761,40,3,1,21,15,947,75,813,59,1,,
2003,MISSISSIPPI,Southaven,33271,68,0,3,47,18,1995,164,1633,198,2,,
2003,MISSISSIPPI,Starkville,22277,55,0,3,18,34,1170,232,897,41,1,,
2003,MISSISSIPPI,Tupelo,35091,90,1,19,32,38,1966,379,1446,141,4,,
2003,MISSISSIPPI,Vicksburg,26313,261,3,39,41,178,2256,357,1809,90,15,,
2003,MISSISSIPPI,West Point,12030,62,2,16,12,32,479,166,312,1,1,,
2003,,,,, ,,,,,,,,,,
2003,MISSOURI,Arnold,20074,32,1,2,6,23,1198,66,1098,34,1,,
2003,MISSOURI,Ballwin,31441,15,0,2,4,9,330,53,254,23,7,,
2003,MISSOURI,Bellefontaine Neighbors,11049,42,0,0,6,36,591,81,415,95,2,,
2003,MISSOURI,Belton,23345,48,0,10,9,29,766,114,599,53,3,,
2003,MISSOURI,Berkeley,10016,121,3,7,27,84,639,111,366,162,8,,
2003,MISSOURI,Blue Springs,49729,87,1,18,28,40,2078,337,1594,147,8,,
2003,MISSOURI,Bridgeton,15651,81,0,4,27,50,1037,98,830,109,1,,
2003,MISSOURI,Cape Girardeau,35866,82,1,13,37,31,2025,284,1681,60,6,,
2003,MISSOURI,Carthage,12882,42,4,8,6,24,397,81,289,27,0,,
2003,MISSOURI,Chesterfield,47391,45,1,3,5,36,917,149,749,19,7,,
2003,MISSOURI,Clayton,16139,23,0,0,6,17,498,59,409,30,4,,
2003,MISSOURI,Columbia,87470,422,2,17,84,319,3266,459,2632,175,20,,
2003,MISSOURI,Crestwood,11941,14,0,0,8,6,700,19,645,36,4,,
2003,MISSOURI,Creve Coeur,16857,14,0,0,3,11,312,48,225,39,2,,
2003,MISSOURI,Excelsior Springs,11201,56,0,6,5,45,546,127,382,37,14,,
2003,MISSOURI,Farmington,14164,108,0,2,7,99,499,42,438,19,3,,
2003,MISSOURI,Ferguson,22256,108,1,11,46,50,1399,192,895,312,1,,
2003,MISSOURI,Florissant,50257,78,1,10,37,30,1259,188,913,158,2,,
2003,MISSOURI,Fulton,12839,52,2,5,9,36,337,44,276,17,3,,
2003,MISSOURI,Gladstone,26929,46,0,3,17,26,812,174,542,96,16,,
2003,MISSOURI,Grandview,25686,140,3,14,44,79,908,279,475,154,13,,
2003,MISSOURI,Hannibal,17616,96,1,13,15,67,1402,191,1204,7,1,,
2003,MISSOURI,Hazelwood,26188,121,2,8,23,88,902,161,600,141,0,,
2003,MISSOURI,Independence,113663,757,2,43,107,605,8364,1328,6080,956,47,,
2003,MISSOURI,Jackson,12373,15,0,1,2,12,267,38,224,5,3,,
2003,MISSOURI,Jefferson City,39299,276,3,27,21,225,1326,190,1064,72,12,,
2003,MISSOURI,Jennings,15404,173,2,8,37,126,1306,302,668,336,13,,
2003,MISSOURI,Joplin,46447,191,5,29,48,109,3679,641,2803,235,19,,
2003,MISSOURI,Kansas City,445965,6151,82,308,1890,3871,35469,6896,22973,5600,478,,
2003,MISSOURI,Kennett,11219,75,0,6,5,64,430,95,323,12,0,,
2003,MISSOURI,Kirksville,17379,66,0,7,1,58,605,101,485,19,4,,
2003,MISSOURI,Kirkwood,27579,45,0,5,8,32,841,80,721,40,9,,
2003,MISSOURI,Lake St. Louis,11044,18,0,1,1,16,200,18,171,11,2,,
2003,MISSOURI,Lebanon,12456,58,1,5,2,50,714,90,588,36,3,,
2003,MISSOURI,Lee's Summit,75370,70,1,16,31,22,2318,377,1808,133,16,,
2003,MISSOURI,Liberty,27687,89,0,3,8,78,577,89,443,45,4,,
2003,MISSOURI,Manchester,19294,10,0,2,6,2,230,35,182,13,1,,
2003,MISSOURI,Marshall,12157,2,0,1,1,0,260,64,188,8,4,,
2003,MISSOURI,Maryland Heights,25927,30,2,2,14,12,1124,159,881,84,3,,
2003,MISSOURI,Maryville,10624,14,0,3,1,10,161,12,143,6,0,,
2003,MISSOURI,Mexico,11073,21,1,4,4,12,241,54,178,9,0,,
2003,MISSOURI,Moberly,13689,25,1,5,3,16,759,114,628,17,4,,
2003,MISSOURI,Neosho,10657,56,0,1,2,53,556,94,441,21,0,,
2003,MISSOURI,Nixa,13748,21,0,2,2,17,304,42,250,12,4,,
2003,MISSOURI,O'Fallon,60014,68,0,5,13,50,1638,180,1413,45,2,,
2003,MISSOURI,Overland,16699,54,0,4,22,28,912,154,698,60,0,,
2003,MISSOURI,Ozark,11717,10,0,0,0,10,402,51,316,35,0,,
2003,MISSOURI,Poplar Bluff,16688,77,1,10,20,46,1104,194,863,47,8,,
2003,MISSOURI,Raymore,12683,12,0,3,0,9,288,29,248,11,1,,
2003,MISSOURI,Raytown,30229,76,1,9,19,47,1133,281,740,112,5,,
2003,MISSOURI,Rolla,17057,44,1,4,13,26,926,165,732,29,2,,
2003,MISSOURI,Sedalia,20339,194,0,6,14,174,1642,357,1227,58,2,,
2003,MISSOURI,Sikeston,16960,76,3,10,17,46,725,130,564,31,11,,
2003,MISSOURI,Springfield,151859,1038,6,73,171,788,12351,1833,9754,764,74,,
2003,MISSOURI,St. Ann,13608,110,2,4,19,85,957,63,787,107,3,,
2003,MISSOURI,St. Charles,61097,193,0,15,35,143,2016,238,1577,201,18,,
2003,MISSOURI,St. Joseph,73559,167,1,16,68,82,4907,924,3729,254,22,,
2003,MISSOURI,St. Louis,340256,6325,73,75,2303,3874,40310,5889,23747,10674,470,,
2003,MISSOURI,St. Peters,53897,116,1,8,30,77,1431,169,1186,76,3,,
2003,MISSOURI,Town and Country,11013,10,0,0,4,6,236,25,203,8,3,,
2003,MISSOURI,University City,38064,174,4,14,83,73,2310,265,1730,315,7,,
2003,MISSOURI,Warrensburg,17033,34,0,2,2,30,410,80,306,24,3,,
2003,MISSOURI,Washington,13537,27,0,2,0,25,316,30,274,12,3,,
2003,MISSOURI,Webb City,10208,13,0,4,2,7,296,51,228,17,4,,
2003,MISSOURI,Webster Groves,23546,20,0,1,11,8,363,62,263,38,4,,
2003,MISSOURI,Wentzville,10048,38,0,8,5,25,400,39,338,23,1,,
2003,MISSOURI,West Plains,10896,32,1,3,2,26,721,140,559,22,3,,
2003,,, ,,,,,,,,,,,,
2003,MONTANA,Billings,92834,230,3,19,66,142,4959,577,4048,334,0,,
2003,MONTANA,Bozeman,29724,82,0,8,8,66,1483,134,1271,78,0,,
2003,MONTANA,Great Falls,56549,293,5,13,58,217,4056,376,3534,146,0,,
2003,MONTANA,Kalispell,15602,56,2,0,5,49,909,65,811,33,3,,
2003,,,,, ,,,,,,,,,,
2003,NEBRASKA,Beatrice,12880,25,0,6,4,15,563,78,470,15,4,,
2003,NEBRASKA,Columbus,20999,9,0,2,3,4,534,72,446,16,1,,
2003,NEBRASKA,Fremont,25335,32,0,3,7,22,968,136,782,50,3,,
2003,NEBRASKA,Grand Island,43261,134,3,19,16,96,2756,349,2317,90,0,,
2003,NEBRASKA,Hastings,24048,31,2,9,3,17,1096,144,910,42,11,,
2003,NEBRASKA,Kearney,28073,80,0,5,6,69,1089,184,855,50,10,,
2003,NEBRASKA,La Vista,13036,14,0,1,4,9,514,37,440,37,7,,
2003,NEBRASKA,Lexington,10177,23,0,10,3,10,400,93,281,26,0,,
2003,NEBRASKA,Lincoln,233721,1114,5,94,153,862,13487,1959,11049,479,9,,
2003,NEBRASKA,Norfolk,24324,38,1,21,5,11,1107,130,944,33,3,,
2003,NEBRASKA,Omaha,401692,2627,35,179,896,1517,24512,3449,16869,4194,210,,
2003,NEBRASKA,Scottsbluff,14775,32,0,2,6,24,905,93,768,44,3,,
2003,NEBRASKA,South Sioux City,12039,5,0,1,2,2,221,33,172,16,0,,
2003,,,,, , ,,,,,,,,,
2003,NEVADA,Boulder City,15842,37,2,1,3,31,284,116,140,28,5,,
2003,NEVADA,Elko,16785,29,0,5,11,13,545,128,385,32,3,,
2003,NEVADA,Henderson,212571,429,10,104,103,212,5689,1441,2884,1364,46,,
2003,NEVADA,Las Vegas Metropolitan Police Department,1189388,9158,141,511,3955,4551,57552,12782,30052,14718,280,,
2003,NEVADA,Mesquite,11615,18,1,0,4,13,272,10,228,34,0,,
2003,NEVADA,North Las Vegas,140133,1158,18,48,332,760,6110,1642,2687,1781,49,,
2003,NEVADA,Reno,196171,1255,11,89,493,662,11231,1976,7708,1547,41,,
2003,NEVADA,Sparks,76025,358,3,44,102,209,3756,828,2482,446,,,
2003,,,,,,,,,,,,,,,
2003,NEW HAMPSHIRE2,Bedford,20039,7,0,0,3,4,171,27,134,10,0,,
2003,NEW HAMPSHIRE2,Berlin,10310,27,1,10,1,15,174,35,133,6,2,,
2003,NEW HAMPSHIRE2,Claremont,13326,22,0,6,3,13,276,29,231,16,0,,
2003,NEW HAMPSHIRE2,Derry,34877,70,0,21,14,35,790,122,572,96,27,,
2003,NEW HAMPSHIRE2,Dover,28059,19,0,8,3,8,554,56,471,27,5,,
2003,NEW HAMPSHIRE2,Exeter,14468,14,0,5,2,7,212,20,180,12,2,,
2003,NEW HAMPSHIRE2,Hampton,15307,34,0,13,8,13,481,53,390,38,3,,
2003,NEW HAMPSHIRE2,Hanover,11233,1,0,0,1,0,96,20,70,6,2,,
2003,NEW HAMPSHIRE2,Hooksett,12556,11,0,4,5,2,377,50,316,11,7,,
2003,NEW HAMPSHIRE2,Hudson,23709,14,0,1,2,11,340,55,253,32,6,,
2003,NEW HAMPSHIRE2,Keene,22939,36,2,10,6,18,639,87,533,19,18,,
2003,NEW HAMPSHIRE2,Laconia,17117,31,0,7,6,18,654,94,525,35,5,,
