year,state,city,population,violent_crime,murder_and_non_negligent_man_slaughter,forcible_rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,crime_index_total,modified_crime_index_total
2000,FLORIDA,Fort Walton Beach,22130,,,6,30,52,,136,589,44,2,857,859
2000,FLORIDA,Gainesville,97611,,6,74,271,632,,1269,4048,471,16,6771,6787
2000,FLORIDA,Greenacres City,27191,,,12,43,81,,343,981,111,,1571,1571
2000,FLORIDA,Gulfport,12253,,,6,28,60,,132,375,63,4,664,668
2000,FLORIDA,Haines City,12751,,,4,25,59,,544,416,63,7,1111,1118
2000,FLORIDA,Hallandale,32207,,1,8,125,285,,428,1191,232,8,2270,2278
2000,FLORIDA,Hialeah,224800,,8,48,499,1114,,1865,7636,2776,52,13946,13998
2000,FLORIDA,Hialeah Gardens,19470,,,3,27,33,,183,553,107,,906,906
2000,FLORIDA,Holly Hill,12238,,1,15,35,76,,260,712,73,1,1172,1173
2000,FLORIDA,Hollywood,139428,,3,52,424,602,,1266,6056,1213,36,9616,9652
2000,FLORIDA,Homestead,32774,,,31,233,445,,965,1951,270,1,3895,3896
2000,FLORIDA,Jacksonville,735992,,79,443,2022,5662,,9955,28378,4533,326,51072,51398
2000,FLORIDA,Jacksonville Beach,22301,,1,10,67,118,,295,1242,74,5,1807,1812
2000,FLORIDA,Jupiter,34627,,,3,43,121,,322,936,105,6,1530,1536
2000,FLORIDA,Key Biscayne,10542,,,,1,3,,19,152,10,,185,185
2000,FLORIDA,Key West,26181,,,20,77,157,,433,1524,261,,2472,2472
2000,FLORIDA,Kissimmee,41849,,4,28,135,321,,701,2229,222,9,3640,3649
2000,FLORIDA,Lady Lake,13650,,,1,,19,,75,139,19,,253,253
2000,FLORIDA,Lake City,12635,,,14,29,132,,181,904,54,6,1314,1320
2000,FLORIDA,Lakeland,79511,,1,48,136,262,,1246,3983,326,17,6002,6019
2000,FLORIDA,Lake Mary,10296,,,,4,49,,98,206,17,,374,374
2000,FLORIDA,Lake Wales,11332,,,10,45,55,,217,843,104,5,1274,1279
2000,FLORIDA,Lake Worth,30714,,5,21,173,198,,622,1695,309,2,3023,3025
2000,FLORIDA,Largo,70684,,2,21,52,253,,466,1861,151,15,2806,2821
2000,FLORIDA,Lauderdale Lakes,30508,,3,17,75,166,,252,593,268,3,1374,1377
2000,FLORIDA,Lauderhill,53883,,4,27,95,261,,609,901,312,7,2209,2216
2000,FLORIDA,Leesburg,18627,,2,6,36,213,,318,712,97,,1384,1384
2000,FLORIDA,Lighthouse Point,11415,,,,3,14,,46,180,22,,265,265
2000,FLORIDA,Longwood,14526,,,3,20,27,,88,345,57,1,540,541
2000,FLORIDA,Lynn Haven,14211,,,3,1,30,,56,271,9,,370,370
2000,FLORIDA,Marco Island,14068,,,2,,11,,62,297,26,,398,398
2000,FLORIDA,Margate,54579,,1,9,33,152,,314,1067,182,10,1758,1768
2000,FLORIDA,Miami,390540,,66,118,3077,4616,,7303,18854,5722,244,39756,40000
2000,FLORIDA,Miami Beach,103496,,6,61,543,713,,1669,8077,1324,13,12393,12406
2000,FLORIDA,Miami Shores,10451,,2,4,47,28,,188,491,90,1,850,851
2000,FLORIDA,Miami Springs,14116,,,6,43,57,,119,451,85,3,761,764
2000,FLORIDA,Milton,11529,,,1,11,39,,66,218,18,7,353,360
2000,FLORIDA,Miramar,64966,,2,25,95,234,,742,1428,314,14,2840,2854
2000,FLORIDA,Mount Dora,10424,,1,17,10,122,,100,412,35,2,697,699
